电影天堂电影之1,#genre#
动作片-即时死亡,https://vip.dytt-cine.com/20250525/25812_580606b7/index.m3u8
动作片-鬼剑奇兵,https://vip.dytt-cine.com/20250525/25811_8f64c0a6/index.m3u8
动作片-复仇岛,https://vip.dytt-cine.com/20250525/25810_1ac0c4b7/index.m3u8
动作片-疯狂流浪者,https://vip.dytt-cine.com/20250525/25809_23fd4faa/index.m3u8
动作片-非常杀手,https://vip.dytt-cine.com/20250525/25808_43675d9e/index.m3u8
动作片-厄运假期,https://vip.dytt-cine.com/20250525/25807_0ecb6f61/index.m3u8
喜剧片-丛林奇航,https://vip.dytt-cine.com/20250525/25806_9bf9e434/index.m3u8
战争片-PT-218的叛军,https://vip.dytt-cine.com/20250525/25805_370abbc7/index.m3u8
战争片-印第安纳波利斯号：勇者无惧,https://vip.dytt-cine.com/20250525/25804_87755e2b/index.m3u8
动作片-永生守卫,https://vip.dytt-cine.com/20250525/25802_674d8d5f/index.m3u8
动作片-英雄主义2,https://vip.dytt-cine.com/20250525/25801_2b243b78/index.m3u8
动作片-一枪毙命,https://vip.dytt-cine.com/20250525/25800_6d4a2c26/index.m3u8
动作片-一卢比战记,https://vip.dytt-cine.com/20250525/25798_779748b3/index.m3u8
动作片-野狗,https://vip.dytt-cine.com/20250525/25797_886cd708/index.m3u8
动作片-岩脊求生,https://vip.dytt-cine.com/20250525/25796_3f94dc57/index.m3u8
动作片-逃出水泥地,https://vip.dytt-cine.com/20250525/25795_d94c59b5/index.m3u8
动作片-速度与激情10,https://vip.dytt-cine.com/20250525/25794_78e2010b/index.m3u8
动作片-速度与激情9,https://vip.dytt-cine.com/20250525/25793_15b31d72/index.m3u8
动作片-速度与激情8,https://vip.dytt-cine.com/20250525/25792_f8e02274/index.m3u8
动作片-愤怒的警官,https://vip.dytt-cine.com/20250524/25788_cb76a72d/index.m3u8
动作片-流氓战争2,https://vip.dytt-cine.com/20250524/25791_74b72ae2/index.m3u8
剧情片-后遗症2020,https://vip.dytt-cine.com/20250524/25790_2ec67927/index.m3u8
动作片-红石杀手,https://vip.dytt-cine.com/20250524/25789_da1a1f14/index.m3u8
动作片-地狱宁静,https://vip.dytt-cine.com/20250524/25787_9dfdb3a1/index.m3u8
科幻片-最后的德鲁伊：加尔姆战争,https://vip.dytt-cine.com/20250525/25803_1fb292ae/index.m3u8
动作片-一个不留,https://vip.dytt-cine.com/20250524/25785_241f7e77/index.m3u8
剧情片-危机：龙潭之战,https://vip.dytt-cine.com/20250524/25784_48d086c2/index.m3u8
动作片-铁拳威龙,https://vip.dytt-cine.com/20250524/25783_2fc0af0c/index.m3u8
动作片-速度与激烈,https://vip.dytt-cine.com/20250524/25782_e9ef4cc2/index.m3u8
战争片-七号渡船,https://vip.dytt-cine.com/20250524/25781_11f9b53e/index.m3u8
动作片-流氓战争,https://vip.dytt-cine.com/20250524/25779_2556424f/index.m3u8
动作片-吃鸡王者,https://vip.dytt-cine.com/20250524/25770_e86ebab4/index.m3u8
动作片-赤色雄狼,https://vip.dytt-cine.com/20250524/25769_bbc57478/index.m3u8
动作片-周末惊魂,https://vip.dytt-cine.com/20250524/25768_eb3191a9/index.m3u8
动作片-伸冤人2,https://vip.dytt-cine.com/20250524/25767_89eec4cf/index.m3u8
记录片-我是一名杀手：出狱人生第一季,https://vip.dytt-film.com/20250525/14913_c06b57c1/index.m3u8
记录片-微观世界2020,https://vip.dytt-film.com/20250525/14897_1e12763b/index.m3u8
记录片-伟大的密码第一季,https://vip.dytt-film.com/20250525/14910_c2d89003/index.m3u8
记录片-移民国度,https://vip.dytt-film.com/20250525/14947_6a600c96/index.m3u8
记录片-大数据时代,https://vip.dytt-tv.com/20250525/16412_e6089618/index.m3u8
记录片-邻家性士第一季,https://vip.dytt-tv.com/20250525/16544_aafca7a8/index.m3u8
记录片-孤注一掷：托特纳姆热刺,https://vip.dytt-tv.com/20250525/16461_ac39d58e/index.m3u8
记录片-极速工厂第一季,https://vip.dytt-tv.com/20250525/16473_bb696109/index.m3u8
记录片-未解之谜第四季,https://vip.dytt-tv.com/20250525/16493_945bcf80/index.m3u8
记录片-未解之谜第一季,https://vip.dytt-tv.com/20250525/16503_86d241e5/index.m3u8
记录片-未解之谜第三季,https://vip.dytt-tv.com/20250525/16488_5d9cde92/index.m3u8
记录片-剑指高分,https://vip.dytt-tv.com/20250525/16509_36920c76/index.m3u8
记录片-恐惧之城：纽约黑帮覆灭录,https://vip.dytt-tv.com/20250525/16518_40e1ada2/index.m3u8
记录片-狂野澳洲第四季,https://vip.dytt-tv.com/20250525/16522_e04c14a6/index.m3u8
记录片-猎魔人：剧集制作揭秘 第一季,
记录片-皮肤诊所,https://vip.dytt-tv.com/20250525/16558_79e6455a/index.m3u8
记录片-世界头号通缉犯,https://vip.dytt-tv.com/20250525/16579_1210c03f/index.m3u8
动作片-少林四小龙,https://vip.dytt-cine.com/20250524/25766_90be09f2/index.m3u8
科幻片-迫日营救,https://vip.dytt-cine.com/20250524/25765_489df172/index.m3u8
动作片-领袖水准,https://vip.dytt-cine.com/20250524/25764_7bd89d30/index.m3u8
动作片-汉城大劫案,https://vip.dytt-cine.com/20250524/25763_e04a9a2d/index.m3u8
动作片-封魔传,https://vip.dytt-cine.com/20250524/25762_2c0c63b0/index.m3u8
动作片-贼巢,https://vip.dytt-cine.com/20250524/25761_f838653d/index.m3u8
动作片-回火2,https://vip.dytt-cine.com/20250524/25760_6f3e2466/index.m3u8
动作片-华沙谍战,https://vip.dytt-cine.com/20250524/25759_ba307c1f/index.m3u8
动作片-惊天营救2,https://vip.dytt-cine.com/20250524/25758_7d108ef7/index.m3u8
动作片-焦土作战,https://vip.dytt-cine.com/20250524/25756_d1d2f825/index.m3u8
动作片-法国缉毒风云,https://vip.dytt-cine.com/20250524/25755_a5d16104/index.m3u8
动作片-最后得分,https://vip.dytt-cine.com/20250524/25754_2229f5e9/index.m3u8
科幻片-侏罗纪星系,https://vip.dytt-cine.com/20250524/25753_d059f8fe/index.m3u8
动作片-宙斯之子：赫拉克勒斯,https://vip.dytt-cine.com/20250524/25752_be03f76c/index.m3u8
动作片-执法女先锋2,https://vip.dytt-cine.com/20250524/25750_d717e27d/index.m3u8
动作片-协商,https://vip.dytt-cine.com/20250524/25749_9248a959/index.m3u8
动作片-亡命夜驰,https://vip.dytt-cine.com/20250524/25748_a4b1edb9/index.m3u8
动作片-铁甲衣,https://vip.dytt-cine.com/20250524/25747_1cac95aa/index.m3u8
动作片-铁甲衣2：浴血奋战,https://vip.dytt-cine.com/20250524/25746_6a1180bd/index.m3u8
动作片-失忆风云,https://vip.dytt-cine.com/20250524/25745_fb8e1ea7/index.m3u8
动作片-圣战骑士,https://vip.dytt-cine.com/20250524/25744_f9423e68/index.m3u8
动作片-群盗：民乱的时代,https://vip.dytt-cine.com/20250524/25743_7f169e8b/index.m3u8
动作片-军人没有假期,https://vip.dytt-cine.com/20250524/25742_cf1f249a/index.m3u8
科幻片-救世超能：永无止境,https://vip.dytt-cine.com/20250524/25741_7be547d1/index.m3u8
动作片-蝎子王5：灵魂之书,https://vip.dytt-cine.com/20250524/25740_6158cdc6/index.m3u8
动作片-伦德尔,https://vip.dytt-cine.com/20250524/25739_a9f0aa05/index.m3u8
动作片-金融决战,https://vip.dytt-cine.com/20250524/25738_35067091/index.m3u8
动作片-加尔维斯顿,https://vip.dytt-cine.com/20250524/25737_8ac65b10/index.m3u8
动作片-iNumber Number：约堡黄金大劫案,https://vip.dytt-cine.com/20250523/25736_1dc6d927/index.m3u8
动作片-银魂 真人版,https://vip.dytt-cine.com/20250523/25735_cfe1bae9/index.m3u8
战争片-雅多维尔围城战,https://vip.dytt-cine.com/20250523/25734_21b45214/index.m3u8
恐怖片-邪恶骨血,https://vip.dytt-cine.com/20250523/25733_fc08e88c/index.m3u8
动作片-蝎子王3：救赎之战,https://vip.dytt-cine.com/20250523/25732_be4643fe/index.m3u8
动作片-杀死琼,https://vip.dytt-cine.com/20250523/25731_5fc4d015/index.m3u8
动作片-忍者启示录,https://vip.dytt-cine.com/20250523/25730_60d2d5e1/index.m3u8
恐怖片-人皮脸,https://vip.dytt-cine.com/20250523/25729_f4ac478b/index.m3u8
动作片-暴力执法,https://vip.dytt-cine.com/20250523/25728_7a42cee5/index.m3u8
动作片-坎大哈,https://vip.dytt-cine.com/20250523/25713_a390ff7a/index.m3u8
动作片-古墓兽影,https://vip.dytt-cine.com/20250523/25712_bce15390/index.m3u8
动作片-约车惊魂夜,https://vip.dytt-cine.com/20250523/25711_ef0e1d56/index.m3u8
科幻片-余烬2015,https://vip.dytt-cine.com/20250523/25710_25a9ebe9/index.m3u8
动作片-物怪,https://vip.dytt-cine.com/20250523/25709_2ce979e1/index.m3u8
动作片-王者无敌苏乞儿,https://vip.dytt-cine.com/20250523/25708_9d201c59/index.m3u8
恐怖片-寂静岭,https://vip.dytt-cine.com/20250523/25707_3d585791/index.m3u8
动作片-幻影车神：魔盗激情,https://vip.dytt-cine.com/20250523/25705_42a21aac/index.m3u8
动作片-捕食者的崛起,https://vip.dytt-cine.com/20250523/25704_ba6b5587/index.m3u8
动作片-宗师卜六,https://vip.dytt-cine.com/20250523/25703_3bc188ad/index.m3u8
剧情片-战俘的逃亡日记,https://vip.dytt-cine.com/20250523/25702_1f422c75/index.m3u8
动作片-侦探马龙,https://vip.dytt-cine.com/20250523/25701_27aa7735/index.m3u8
动作片-倚天屠龙记之魔教教主,https://vip.dytt-cine.com/20250523/25699_c66c332f/index.m3u8
动作片-武圣,https://vip.dytt-cine.com/20250523/25698_366df1b8/index.m3u8
动作片-特种兵王之原子核爆,https://vip.dytt-cine.com/20250523/25697_d41ca4d1/index.m3u8
动作片-舍身技,https://vip.dytt-cine.com/20250523/25696_4d9c8d2d/index.m3u8
动作片-少林达摩剑,https://vip.dytt-cine.com/20250523/25695_d61fc047/index.m3u8
动作片-丧门神鲍旭,https://vip.dytt-cine.com/20250523/25694_31073475/index.m3u8
动作片-超级强盗,https://vip.dytt-cine.com/20250523/25692_4490759a/index.m3u8
动作片-七宝传奇之氽来神钟,https://vip.dytt-cine.com/20250523/25691_31c99759/index.m3u8
动作片-霹雳神鹰,https://vip.dytt-cine.com/20250523/25690_507779fb/index.m3u8
动作片-罗宾汉历险记,https://vip.dytt-cine.com/20250523/25689_21b58d0c/index.m3u8
动作片-金沙血,https://vip.dytt-cine.com/20250523/25688_4c383979/index.m3u8
动作片-金大坚与萧让,https://vip.dytt-cine.com/20250523/25687_0ab3906a/index.m3u8
记录片-混沌特工,https://vip.dytt-film.com/20250523/14766_af3b0930/index.m3u8
记录片-卡梅尔：谁杀了玛丽亚,https://vip.dytt-film.com/20250523/14770_6346db6a/index.m3u8
记录片-拉利内阿：危城困境,https://vip.dytt-film.com/20250523/14776_67d4b0e0/index.m3u8
记录片-宁静的世界,https://vip.dytt-film.com/20250523/14786_b27a5a54/index.m3u8
记录片-人生战术本,https://vip.dytt-film.com/20250523/14801_209dc878/index.m3u8
记录片-世界上最致命的蛇,https://vip.dytt-film.com/20250523/14812_d8fa522f/index.m3u8
记录片-詹姆斯·梅：哎哟，我炒！ 第二季,https://vip.dytt-film.com/20250523/14825_722fd8c9/index.m3u8
记录片-追踪海洋巨兽,https://vip.dytt-film.com/20250523/14865_305ec2f9/index.m3u8
记录片-成为这样的我,https://vip.dytt-tv.com/20250523/16289_f8e64ef8/index.m3u8
记录片-迪士尼动物王国第二季,https://vip.dytt-tv.com/20250523/16311_a5a01195/index.m3u8
记录片-迪士尼动物王国第一季,https://vip.dytt-tv.com/20250523/16319_ce2ad0ac/index.m3u8
恐怖片-堕入地狱,https://vip.dytt-cine.com/20250523/25686_604ed2b8/index.m3u8
恐怖片-狩猎灵魂,https://vip.dytt-cine.com/20250523/25685_2439bea0/index.m3u8
恐怖片-人栗资源,https://vip.dytt-cine.com/20250523/25684_c80e2e3d/index.m3u8
恐怖片-寂静岭2,https://vip.dytt-cine.com/20250523/25683_d95c6aef/index.m3u8
恐怖片-鬼追人 5,https://vip.dytt-cine.com/20250523/25682_3d8338aa/index.m3u8
记录片-挑战者号：最后的飞行,https://vip.dytt-tv.com/20250523/16369_9bb2b56e/index.m3u8
恐怖片-恶灵春梦,https://vip.dytt-cine.com/20250523/25681_cf1f4d53/index.m3u8
动作片-天罡星下凡,https://vip.dytt-cine.com/20250523/25680_abd5e8f8/index.m3u8
动作片-他们克隆了蒂龙,https://vip.dytt-cine.com/20250523/25679_18c746a0/index.m3u8
动作片-寿司女孩,https://vip.dytt-cine.com/20250523/25678_c6b2aa07/index.m3u8
动作片-伸冤人3,https://vip.dytt-cine.com/20250523/25677_8c2a6cec/index.m3u8
记录片-完美犯罪：狄列夫·罗威德遇刺案 第一季,https://vip.dytt-tv.com/20250523/16373_03af2dab/index.m3u8
动作片-杀死比尔：整个血腥事件,https://vip.dytt-cine.com/20250523/25676_46125459/index.m3u8
动作片-三个火枪手：达达尼昂,https://vip.dytt-cine.com/20250523/25675_eda9c67d/index.m3u8
动作片-萨扬: 干旱之路,https://vip.dytt-cine.com/20250523/25674_62f6e7ce/index.m3u8
喜剧片-女英雄们,https://vip.dytt-cine.com/20250523/25673_03f68714/index.m3u8
动作片-纳尼亚传奇2：凯斯宾王子,https://vip.dytt-cine.com/20250523/25672_0555bb36/index.m3u8
动作片-密室死斗,https://vip.dytt-cine.com/20250523/25671_1bc3368d/index.m3u8
恐怖片-绿色地狱,https://vip.dytt-cine.com/20250523/25670_fffcc1a3/index.m3u8
动作片-两只兔子,https://vip.dytt-cine.com/20250523/25669_eaaec0f5/index.m3u8
记录片-约翰·威尔逊的十万个怎么做第一季,https://vip.dytt-tv.com/20250523/16400_e375a58e/index.m3u8
动作片-两个男人,https://vip.dytt-cine.com/20250523/25668_627f1c00/index.m3u8
动作片-空军一号坠落,https://vip.dytt-cine.com/20250523/25667_79525d41/index.m3u8
科幻片-惊奇队长2,https://vip.dytt-cine.com/20250523/25666_b7e89808/index.m3u8
动作片-黄沙战神,https://vip.dytt-cine.com/20250523/25665_25d116dc/index.m3u8
剧情片-公平竞争,https://vip.dytt-cine.com/20250523/25664_9a1e6dff/index.m3u8
战争片-敢死营,https://vip.dytt-cine.com/20250523/25663_ef840e78/index.m3u8
恐怖片-釜山行,https://vip.dytt-cine.com/20250523/25662_5de2a609/index.m3u8
恐怖片-釜山行2：半岛,https://vip.dytt-cine.com/20250523/25661_54526e43/index.m3u8
动作片-夺魂密令,https://vip.dytt-cine.com/20250523/25660_06b21cad/index.m3u8
动作片-夺宝奇兵5：命运转盘,https://vip.dytt-cine.com/20250523/25659_013e7eed/index.m3u8
动作片-毒战2,https://vip.dytt-cine.com/20250523/25658_a211845c/index.m3u8
动作片-谍之心,https://vip.dytt-cine.com/20250523/25657_d27227ea/index.m3u8
动作片-谍海计中计,https://vip.dytt-cine.com/20250523/25656_d3e01824/index.m3u8
动作片-代号猛虎行动,https://vip.dytt-cine.com/20250523/25655_ba8a4b2c/index.m3u8
动作片-达荷美女战士,https://vip.dytt-cine.com/20250523/25654_bb9866ca/index.m3u8
喜剧片-超级骑警,https://vip.dytt-cine.com/20250523/25653_f38672a5/index.m3u8
喜剧片-超级骑警2,https://vip.dytt-cine.com/20250523/25652_eb69ec3b/index.m3u8
动作片-边境大逃亡,https://vip.dytt-cine.com/20250523/25651_2abb7336/index.m3u8
动作片-保护者,https://vip.dytt-cine.com/20250523/25650_9e1f10e4/index.m3u8
动作片-芭蕾复仇曲,https://vip.dytt-cine.com/20250523/25649_c80bc2fb/index.m3u8
动作片-艾克斯奥特曼剧场版：来了！我们的奥特曼,https://vip.dytt-cine.com/20250523/25648_63baaa24/index.m3u8
剧情片-GT赛车：极速狂飙,https://vip.dytt-cine.com/20250523/25647_92e2febe/index.m3u8
动作片-走到尽头,https://vip.dytt-cine.com/20250523/25646_4b0634bf/index.m3u8
动作片-终极悍将,https://vip.dytt-cine.com/20250523/25645_cd3c25ad/index.m3u8
恐怖片-致命洪灾,https://vip.dytt-cine.com/20250523/25644_caa00974/index.m3u8
科幻片-蜘蛛侠：莲,https://vip.dytt-cine.com/20250523/25643_8e3187c1/index.m3u8
动作片-越战先锋,https://vip.dytt-cine.com/20250523/25642_89a183c0/index.m3u8
动作片-勇敢的王后,https://vip.dytt-cine.com/20250523/25641_103c95b9/index.m3u8
动作片-勇闯夺命岛,https://vip.dytt-cine.com/20250523/25640_d5254572/index.m3u8
剧情片-营救野猪队,https://vip.dytt-cine.com/20250523/25639_5aaa384f/index.m3u8
动作片-我不好惹2：贝琪之怒,https://vip.dytt-cine.com/20250523/25638_9207e68f/index.m3u8
动作片-威震八方,https://vip.dytt-cine.com/20250523/25637_526b2103/index.m3u8
动作片-铁血骑警,https://vip.dytt-cine.com/20250523/25636_90256d5c/index.m3u8
动作片-执法霸王花,https://vip.dytt-cine.com/20250522/25635_4f8bfe1d/index.m3u8
动作片-造访职业杀手,https://vip.dytt-cine.com/20250522/25634_217cf4df/index.m3u8
动作片-月色狰狞,https://vip.dytt-cine.com/20250522/25633_7887abe5/index.m3u8
爱情片-甜蜜诅咒,https://vip.dytt-cine.com/20250523/25714_f73372f6/index.m3u8
动作片-日落黄沙,https://vip.dytt-cine.com/20250522/25632_f28c1abb/index.m3u8
动作片-轰天雷凌振,https://vip.dytt-cine.com/20250522/25631_fad966a3/index.m3u8
